Floating wood at Chazey for flood on 20071122
Date Time Length(m) Diameter(m) Position(m) Angle(rad) Velocity(m/s) Rotation(rad/s) Roots(1/0) Branches(1/0) Grouped(1/0) PartSubmerged(1/0)
23-Nov-2007  16:00:37 0.49  0.20  71.16  2.15  8.41 -3.04  0  0  0  0 
23-Nov-2007  16:00:45 1.20  0.09  71.67  0.65  7.92 -3.06  0  0  0  0 
23-Nov-2007  16:00:46 0.79  0.06  73.09  1.01  8.64 -3.66  0  0  0  0 
23-Nov-2007  16:00:47 0.53  0.09  75.79  1.02  7.32 -3.74  0  0  0  0 
23-Nov-2007  16:00:49 1.49  0.11  72.53  0.44  10.22  3.22  0  0  0  0 
23-Nov-2007  16:00:59 0.40  0.14  70.84  1.39  6.83 -2.31  0  0  0  0 
23-Nov-2007  16:01:01 0.67  0.08  72.30  0.90  9.35 -3.66  0  0  0  0 
23-Nov-2007  16:01:04 0.49  0.09  72.33  0.95  10.48 -4.61  0  0  0  0 
23-Nov-2007  16:01:06 0.53  0.16  70.93  0.83  8.17 -3.06  0  0  0  0 
23-Nov-2007  16:01:13 0.83  0.14  70.94  1.39  8.04 -3.12  0  0  0  0 
23-Nov-2007  16:01:14 2.16  0.18  69.29  1.06  7.56 -2.67  0  1  0  0 
23-Nov-2007  16:01:17 0.67  0.13  72.35  1.28  10.09 -4.65  0  0  0  0 
23-Nov-2007  16:01:19 0.64  0.12  74.06  1.18  17.14 -9.40  0  0  0  0 
23-Nov-2007  16:01:21 0.92  0.12  74.30  2.53  7.05 -2.69  0  0  0  0 
23-Nov-2007  16:01:26 0.86  0.18  71.22  0.85  10.90 -4.62  0  0  0  0 
23-Nov-2007  16:01:27 0.86  0.09  74.58  0.18  6.61  2.14  0  0  0  0 
23-Nov-2007  16:01:28 1.00  0.13  71.90  1.63  8.12 -3.14  0  0  0  0 
23-Nov-2007  16:01:31 0.66  0.11  71.71  0.60  10.92 -4.74  0  0  0  0 
23-Nov-2007  16:01:34 1.00  0.14  72.14  0.98  10.67 -4.72  0  0  0  0 
23-Nov-2007  16:01:36 3.93  0.30  71.79  2.25  7.49 -2.66  0  0  0  0 
23-Nov-2007  16:01:40 0.32  0.07  74.45  1.85  8.14 -3.57  0  0  0  0 
23-Nov-2007  16:01:42 0.46  0.10  74.81  1.85  9.51 -4.56  0  0  0  0 
23-Nov-2007  16:01:43 1.38  0.17  71.01  0.74  9.82 -3.74  0  0  0  0 
23-Nov-2007  16:01:48 1.37  0.10  72.96  0.75  10.39 -4.54  0  0  0  0 
23-Nov-2007  16:01:49 1.07  0.11  74.27  1.70  9.52 -4.60  0  0  0  0 
23-Nov-2007  16:01:54 1.66  0.09  73.14  0.27  8.74  2.54  0  0  0  0 
23-Nov-2007  16:01:55 2.18  0.21  70.21  0.59  6.39  1.41  0  0  0  0 
23-Nov-2007  16:02:00 1.35  0.10  69.62  0.88  14.71 -6.17  0  0  0  0 
23-Nov-2007  16:02:03 1.01  0.11  73.20  2.29  8.06 -3.14  0  0  0  0 
23-Nov-2007  16:02:06 0.94  0.15  71.25  2.57  11.78 -4.80  0  0  0  0 
23-Nov-2007  16:02:16 0.51  0.12  74.07  1.14  12.01 -6.27  0  0  0  0 
23-Nov-2007  16:02:27 1.03  0.08  73.32  1.91  8.26 -3.69  0  0  0  0 
23-Nov-2007  16:02:29 0.70  0.10  69.13  0.75  11.86 -4.78  0  0  0  0 
23-Nov-2007  16:02:30 0.29  0.08  70.55  1.40  10.66 -4.70  0  0  0  0 
23-Nov-2007  16:02:33 0.64  0.10  71.99  0.62  8.09 -3.14  0  0  0  0 
23-Nov-2007  16:02:38 0.46  0.06  73.97  0.89  8.28 -3.62  0  0  0  0 
23-Nov-2007  16:02:40 0.64  0.04  76.14  1.34  14.99 -9.12  0  0  0  0 
23-Nov-2007  16:02:53 0.90  0.17  62.32  2.24  10.68 -3.11  0  0  0  0 
23-Nov-2007  16:02:55 1.04  0.10  75.07  0.53  15.73  6.58  0  1  0  1 
23-Nov-2007  16:02:56 1.51  0.03  78.02  0.07  7.62  3.18  0  1  0  0 
23-Nov-2007  16:02:57 0.58  0.12  73.25  1.58  12.87 -6.10  0  0  0  0 
23-Nov-2007  16:02:57 2.36  0.16  71.12  0.94  7.96 -3.10  0  0  0  0 
23-Nov-2007  16:03:02 3.17  0.25  69.63  1.78  7.18 -2.32  0  0  0  0 
23-Nov-2007  16:03:04 1.48  0.10  72.61 -3.10  6.99  1.84  0  0  0  0 
23-Nov-2007  16:03:06 0.31  0.10  74.54  1.50  9.60 -4.57  0  0  0  0 
23-Nov-2007  16:03:08 0.38  0.12  72.74  1.37  9.02 -3.92  0  0  0  0 
23-Nov-2007  16:03:14 0.53  0.09  72.72  0.52  8.84  2.52  0  0  0  0 
23-Nov-2007  16:03:17 0.96  0.05  72.22  0.40  10.06  3.12  0  0  0  0 
23-Nov-2007  16:03:19 0.61  0.11  75.38  2.01  31.25 -18.64  0  0  0  0 
23-Nov-2007  16:03:25 1.43  0.31  64.36  2.09  7.28 -1.85  0  0  0  0 
23-Nov-2007  16:03:30 0.65  0.12  73.94  2.07  7.83 -3.70  0  0  0  0 
23-Nov-2007  16:03:32 0.86  0.25  65.04  1.45  9.82 -3.11  0  0  0  0 
23-Nov-2007  16:03:39 0.60  0.13  71.85  2.27  13.62 -6.18  0  0  0  0 
23-Nov-2007  16:03:39 1.29  0.23  69.67  1.68  21.91 -9.18  0  0  0  0 
23-Nov-2007  16:03:40 0.61  0.08  71.64  0.17  39.38  13.68  0  0  0  0 
23-Nov-2007  16:03:57 0.60  0.15  70.30  1.39  7.39 -2.62  0  0  0  0 
23-Nov-2007  16:03:58 0.52  0.30  61.16  1.20  6.34 -1.46  0  0  0  0 
23-Nov-2007  16:04:04 1.16  0.14  71.46  0.87  7.00 -2.34  0  0  0  0 
23-Nov-2007  16:04:06 0.67  0.06  73.38  0.88  8.81 -3.74  0  0  0  0 
